,Dataset,Fold,Method,Metric,Patient,Performance
0,V-23_24,1,MMSBM,Recall,216,0.8
1,V-23_24,1,MMSBM,Precision,216,0.9999999987499999
2,V-23_24,1,MMSBM,Accuracy,216,0.9166666666666667
3,V-23_24,0,MMSBM,Recall,216,0.8888888888888888
4,V-23_24,0,MMSBM,Precision,216,0.7272727266115702
5,V-23_24,0,MMSBM,Accuracy,216,0.8333333333333333
6,V-23_24,3,MMSBM,Recall,216,0.7142857142857143
7,V-23_24,3,MMSBM,Precision,216,0.6249999992187499
8,V-23_24,3,MMSBM,Accuracy,216,0.7826086956521738
9,V-23_24,2,MMSBM,Recall,216,1.0
10,V-23_24,2,MMSBM,Precision,216,0.6666666659259258
11,V-23_24,2,MMSBM,Accuracy,216,0.875
12,V-23_24,4,MMSBM,Recall,216,1.0
13,V-23_24,4,MMSBM,Precision,216,0.7142857132653061
14,V-23_24,4,MMSBM,Accuracy,216,0.9130434782608695
15,V-23_24,1,MMSBM,Recall,217,0.7
16,V-23_24,1,MMSBM,Precision,217,0.7777777769135802
17,V-23_24,1,MMSBM,Accuracy,217,0.7916666666666667
18,V-23_24,0,MMSBM,Recall,217,0.16666666666666666
19,V-23_24,0,MMSBM,Precision,217,0.6666666644444444
20,V-23_24,0,MMSBM,Accuracy,217,0.5416666666666666
21,V-23_24,3,MMSBM,Recall,217,0.6
22,V-23_24,3,MMSBM,Precision,217,0.5999999988
23,V-23_24,3,MMSBM,Accuracy,217,0.8260869565217391
24,V-23_24,2,MMSBM,Recall,217,0.5555555555555556
25,V-23_24,2,MMSBM,Precision,217,0.7142857132653061
26,V-23_24,2,MMSBM,Accuracy,217,0.75
27,V-23_24,4,MMSBM,Recall,217,0.2
28,V-23_24,4,MMSBM,Precision,217,0.3333333322222222
29,V-23_24,4,MMSBM,Accuracy,217,0.7391304347826086
30,V-23_24,1,MMSBM,Recall,214,0.8333333333333334
31,V-23_24,1,MMSBM,Precision,214,0.6249999992187499
32,V-23_24,1,MMSBM,Accuracy,214,0.8333333333333334
33,V-23_24,0,MMSBM,Recall,214,0.6363636363636364
34,V-23_24,0,MMSBM,Precision,214,0.7777777769135802
35,V-23_24,0,MMSBM,Accuracy,214,0.75
36,V-23_24,3,MMSBM,Recall,214,0.4
37,V-23_24,3,MMSBM,Precision,214,0.49999999937499995
38,V-23_24,3,MMSBM,Accuracy,214,0.5652173913043479
39,V-23_24,2,MMSBM,Recall,214,0.5714285714285714
40,V-23_24,2,MMSBM,Precision,214,0.7999999984
41,V-23_24,2,MMSBM,Accuracy,214,0.8333333333333333
42,V-23_24,4,MMSBM,Recall,214,1.0
43,V-23_24,4,MMSBM,Precision,214,0.571428570612245
44,V-23_24,4,MMSBM,Accuracy,214,0.8695652173913043
45,V-23_24,1,MMSBM,Recall,215,0.0
46,V-23_24,1,MMSBM,Precision,215,0.0
47,V-23_24,1,MMSBM,Accuracy,215,0.7916666666666666
48,V-23_24,0,MMSBM,Recall,215,0.0
49,V-23_24,0,MMSBM,Precision,215,0.0
